date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:24	28803/28803	---MCZ	200	added ('OK')	text/html	etag:W/%2266fbd4b1bd6343e75392f55694481e3d%22	http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291	C:/Users/juan/Documents/personal_juan/uno/preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291.html	(from )
15:18:25	1/1	---M--	200	added ('OK')	text/plain	etag:%225a9409d3-1%22	http://preview.themeforest.net/robots.txt		(from )
15:18:25	0/0	---MC-	410	error ('Gone')	text/plain	date:Mon,%2026%20Feb%202018%2019:18:25%20GMT	http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/&quot;https://themeforest.net/item/konoha-a-simple-elegant-wordpress-blog-the...%22	C:/Users/juan/Documents/personal_juan/uno/preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/&quot;https_/themeforest.net/item/konoha-a-simple-elegant-wordpress-blog-the..._	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:27	194886/194886	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202018%2023:38:08%20GMT	https://public-assets.envato-static.com/assets/market/core/index-8e883c2aedfd5ad9a2e6750ef97ffd69ddf3cabf73196cdbc4e9274377dbde14.css	C:/Users/juan/Documents/personal_juan/uno/public-assets.envato-static.com/assets/market/core/index-8e883c2aedfd5ad9a2e6750ef97ffd69ddf3cabf73196cdbc4e9274377dbde14.css	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:27	1977/1977	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202017%2003:39:48%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	C:/Users/juan/Documents/personal_juan/uno/public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:28	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/Users/juan/Documents/personal_juan/uno/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:28	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/Users/juan/Documents/personal_juan/uno/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:29	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/Users/juan/Documents/personal_juan/uno/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:30	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/Users/juan/Documents/personal_juan/uno/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
15:18:31	0/0	---MC-	410	error ('Gone')	text/plain	date:Mon,%2026%20Feb%202018%2019:18:31%20GMT	http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/linkid.js	C:/Users/juan/Documents/personal_juan/uno/preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/linkid.js	(from http://preview.themeforest.net/item/konoha-clean-elegant-blog-template/full_screen_preview/21110291)
